gene	description	WT_6h_1	WT_6h_2	WT_6h_3	RELA_6h_1	RELA_6h_2	RELA_6h_3
Sirpb1a	na	1	1	0	2	5	4
Sirpb1b	na	2	10	4	9	9	1
Sirt1	na	1463	1576	1499	1789	1744	1591
Sirt2	na	932	992	874	941	903	802
Sirt3	na	183	248	196	233	258	222
Sirt4	na	320	283	246	306	331	264
Sirt5	na	87	139	91	143	135	103
Sirt6	na	698	673	602	705	715	565
Sirt7	na	1755	1727	1541	1944	1980	1723
Sis	na	0	0	0	0	0	0
Sit1	na	68	57	54	55	42	39
Siva1	na	343	339	343	352	354	324
Six1	na	4	3	2	7	2	2
Six2	na	0	0	0	0	0	0
Six3	na	0	0	0	0	0	0
Six3os1	na	0	0	0	0	0	0
Six4	na	2	1	1	3	0	3
Six5	na	1	4	0	4	3	5
Six6	na	0	0	0	0	0	0
Ska1	na	16	5	20	9	13	10
Skap1	na	21	17	15	23	35	17
Skap2	na	856	946	852	913	1002	832
Ski	na	1441	1469	1329	1509	1560	1338
Skil	na	6913	7283	6622	7770	7837	7136
Skint1	na	0	0	0	0	0	0
Skint10	na	0	0	0	0	0	0
Skint11	na	0	0	0	0	0	0
Skint2	na	0	0	0	0	0	0
Skint3	na	2	3	1	4	5	6
Skint4	na	0	0	0	0	0	0
Skint5	na	0	0	0	0	0	0
Skint6	na	0	0	0	0	0	0
Skint7	na	0	0	0	0	0	0
Skint8	na	0	0	0	0	0	0
Skint9	na	0	0	0	0	0	0
Skiv2l	na	3574	3651	3063	3991	4112	3437
Skiv2l2	na	3953	4079	3935	4478	4379	3952
Skor1	na	1	3	2	1	0	1
Skor2	na	0	0	0	0	0	0
Skp1a	na	2603	2827	2781	2985	2961	2676
Skp2	na	258	262	249	273	255	248
Sla	na	834	802	872	892	952	817
Sla2	na	22	30	22	39	32	27
Slain1	na	495	484	519	528	530	472
Slain2	na	2351	2526	2300	2629	2636	2290
Slamf1	na	93	87	99	93	90	92
Slamf6	na	661	729	648	769	819	655
Slamf7	na	5208	5340	5079	5527	5690	4944
Slamf8	na	2	1	1	0	3	1
Slamf9	na	115	100	121	156	146	141
Slbp	na	1033	1157	1104	1255	1253	1052
Slc10a1	na	5	14	3	10	6	16
Slc10a2	na	0	0	0	0	0	0
Slc10a3	na	1429	1436	1451	1596	1550	1441
Slc10a4	na	2	0	1	2	2	0
Slc10a5	na	2	0	2	1	4	7
Slc10a6	na	0	0	0	0	0	0
Slc10a7	na	416	423	411	443	452	418
Slc11a1	na	41	48	33	55	60	50
Slc11a2	na	420	357	441	513	489	407
Slc12a1	na	3	0	0	0	0	2
Slc12a2	na	1295	1396	1358	1576	1497	1265
Slc12a3	na	24	16	20	19	23	28
Slc12a4	na	439	421	410	451	517	449
Slc12a5	na	10	25	13	13	30	13
Slc12a6	na	6147	6207	5734	6929	7043	6017
Slc12a7	na	658	621	638	739	799	655
Slc12a8	na	29	27	20	34	21	33
